id,text,target
1,Massive flooding in Delhi,1
2,Amazing sunset today!,0
3,Fire broke out in a Mumbai building,1
4,Great concert last night,0
5,Earthquake shook the region,1
6,Heavy snowfall expected tomorrow,1
7,Delicious food at the new restaurant,0
8,Wildfire spreading in California,1
9,Beautiful sunrise in the mountains,0
10,Strong winds causing havoc in the city,1
11,Concert tickets on sale now,0
12,Flash flood warnings in rural areas,1
13,Volcano eruption in Indonesia,1
14,Just finished a great book,0
15,Landslides blocking roads in the north,1
16,New tech release announcement,0
17,Flooded streets in Bangkok after heavy rain,1
18,Earthquake tremors felt in Mumbai,1
19,Cyclone approaching the coast,1
20,Great coffee at the café this morning,0
21,Sinkhole reported in downtown area,1
22,Firefighters battling a huge blaze,1
23,Storm approaching the city,1
24,Planning a hiking trip next weekend,0
25,Police on the scene of an accident,1
